season,year,hour,holiday,weekday,working_day,weather_situation,temperature,humidity,wind_speed,registered,count,i_hour
2,1,23,0,0,0,2,21.14,38.19,22.39,57,74,0
3,0,20,0,0,0,1,31.479999999999997,32.83,16.42,143,195,1
2,0,9,0,4,1,2,15.5,51.59,28.360000000000003,191,212,1
1,0,1,0,2,1,1,-0.47999999999999954,39.53,10.45,2,2,0
3,0,1,0,4,1,2,26.78,56.28,22.39,16,21,0
3,0,13,0,1,1,1,30.54,37.52,25.369999999999997,125,152,0
4,0,16,0,4,1,3,13.620000000000001,48.239999999999995,16.42,124,131,1
1,0,21,1,1,0,3,2.34,50.25,44.78,33,34,0
4,1,3,0,2,1,1,12.68,51.59,13.43,1,1,0
4,1,16,0,2,1,3,21.14,58.96,13.43,328,374,1
3,1,21,0,5,1,1,26.78,44.22,25.369999999999997,236,286,0
2,0,14,0,4,1,2,6.1,46.9,13.43,66,83,0
1,1,2,0,0,0,2,3.2799999999999994,62.31,10.45,59,63,0
3,1,7,0,0,0,1,29.6,44.22,0.0,33,52,1
4,1,6,0,5,1,1,16.44,55.61,0.0,133,137,0
4,0,4,1,4,0,1,6.1,40.87,8.959999999999999,1,2,0
4,1,10,0,6,0,2,5.160000000000002,59.63,16.42,211,256,1
1,1,11,0,5,1,2,5.160000000000002,30.150000000000002,10.45,134,153,0
3,1,14,0,2,1,1,24.9,20.099999999999998,46.27,186,267,0
4,1,1,0,2,1,3,12.68,58.96,64.18,5,5,0
1,1,16,0,2,1,1,17.380000000000003,17.42,44.78,277,307,1
4,1,4,0,5,1,2,6.1,43.550000000000004,10.45,5,5,0
3,1,19,0,5,1,1,26.78,34.17,16.42,385,488,1
3,1,9,1,3,0,1,27.72,34.84,0.0,203,293,1
2,1,3,0,4,1,1,19.259999999999998,18.76,25.369999999999997,4,5,0
2,0,22,0,5,1,1,6.1,37.52,16.42,64,74,0
1,0,6,0,6,0,2,-0.47999999999999954,49.58,16.42,2,2,0
2,1,9,0,5,1,2,22.080000000000002,55.61,22.39,274,298,1
2,1,12,0,0,0,3,9.86,58.29,32.84,56,61,0
2,1,15,0,2,1,2,19.259999999999998,30.82,13.43,218,272,0
1,1,10,0,0,0,1,4.220000000000001,27.47,58.209999999999994,91,122,1
2,0,3,0,0,0,1,13.620000000000001,48.239999999999995,8.959999999999999,21,31,0
3,1,5,0,5,1,1,23.020000000000003,55.61,16.42,35,37,0
2,1,6,0,0,0,2,10.8,67.0,25.369999999999997,13,18,0
3,0,4,0,2,1,1,17.380000000000003,37.52,16.42,5,5,0
1,0,21,0,4,1,1,16.44,36.85,38.81,119,124,0
1,1,8,1,2,0,2,3.2799999999999994,58.29,0.0,10,11,1
4,1,14,0,3,1,1,8.919999999999998,26.8,29.849999999999998,161,176,0
2,1,5,0,0,0,2,12.68,51.59,22.39,6,6,0
2,0,19,0,2,1,1,23.96,38.19,35.82,323,365,1
4,0,2,0,0,0,1,4.220000000000001,54.27,0.0,23,29,0
3,0,4,0,2,1,1,23.020000000000003,49.58,10.45,10,10,0
1,1,10,0,2,1,2,7.040000000000001,38.19,19.400000000000002,110,144,1
4,1,4,0,4,1,2,6.1,30.150000000000002,28.360000000000003,9,10,0
1,0,23,0,5,1,1,0.4599999999999991,46.23,0.0,48,53,0
2,0,6,0,2,1,1,17.380000000000003,37.52,29.849999999999998,107,113,0
1,1,17,0,3,1,2,1.4000000000000004,26.8,19.400000000000002,272,281,1
3,0,8,0,3,1,2,26.78,34.17,16.42,408,437,1
1,0,22,0,2,1,1,-2.3600000000000003,22.11,35.82,29,29,0
2,1,13,0,4,1,1,18.320000000000004,30.82,0.0,186,238,0
4,0,8,0,1,1,2,13.620000000000001,62.98,0.0,378,391,1
3,1,15,0,4,1,1,25.839999999999996,28.14,10.45,253,352,0
4,1,11,0,1,1,2,10.8,58.29,8.959999999999999,148,170,0
3,1,8,0,0,0,2,22.080000000000002,46.23,10.45,90,124,1
2,1,21,0,6,0,2,22.080000000000002,33.5,22.39,192,290,0
4,1,12,0,4,1,1,10.8,16.08,49.25,202,235,0
2,0,14,0,1,1,2,25.839999999999996,41.54,52.239999999999995,130,187,0
1,0,5,1,1,0,1,7.98,28.14,38.81,4,4,0
4,1,13,0,2,1,1,7.98,35.510000000000005,25.369999999999997,188,218,0
3,0,12,0,2,1,1,31.479999999999997,18.76,0.0,122,147,0
1,0,19,0,0,0,1,0.4599999999999991,31.49,13.43,47,61,1
4,0,22,0,6,0,1,15.5,51.59,0.0,104,149,0
3,1,22,0,4,1,3,23.020000000000003,59.63,25.369999999999997,62,68,0
4,0,14,0,4,1,2,7.98,32.83,38.81,105,110,0
1,1,3,0,5,1,1,7.040000000000001,38.19,19.400000000000002,3,3,0
3,0,15,0,6,0,1,27.72,30.150000000000002,32.84,223,428,0
1,0,19,0,0,0,2,7.98,24.119999999999997,13.43,39,42,1
3,0,9,0,4,1,2,21.14,62.98,19.400000000000002,168,203,1
1,0,17,0,5,1,1,3.2799999999999994,50.25,13.43,147,149,1
2,0,22,0,0,0,1,23.020000000000003,52.260000000000005,22.39,114,152,0
1,0,11,0,4,1,2,3.2799999999999994,40.199999999999996,8.959999999999999,99,122,0
2,1,14,0,5,1,1,14.559999999999999,19.43,38.81,250,490,0
1,0,8,0,1,1,2,-2.3600000000000003,33.5,28.360000000000003,184,188,1
3,0,9,0,3,1,1,26.78,46.9,8.959999999999999,181,209,1
1,0,1,0,0,0,1,-6.12,38.19,10.45,12,13,0
3,1,3,0,6,0,1,20.2,48.91,25.369999999999997,31,37,0
2,1,23,0,0,0,3,8.919999999999998,54.27,46.27,17,17,0
3,1,1,0,0,0,1,26.78,46.9,13.43,81,93,0
2,0,17,0,2,1,1,10.8,13.4,13.43,265,299,1
4,0,18,0,3,1,3,10.8,62.98,29.849999999999998,48,51,1
2,1,4,0,2,1,1,3.2799999999999994,21.44,35.82,3,3,0
3,1,6,0,2,1,1,13.620000000000001,51.59,10.45,200,211,0
2,1,15,0,2,1,3,23.020000000000003,59.63,19.400000000000002,94,116,0
4,1,10,0,4,1,1,7.040000000000001,30.150000000000002,28.360000000000003,139,167,1
2,1,17,0,0,0,1,21.14,18.09,29.849999999999998,334,522,1
3,1,16,0,5,1,2,31.479999999999997,21.44,44.78,372,488,1
1,1,20,0,3,1,3,3.2799999999999994,58.29,13.43,122,125,1
3,1,23,0,5,1,1,29.6,42.21,10.45,137,164,0
1,1,19,0,1,1,1,15.5,19.43,38.81,318,334,1
1,0,0,0,4,1,3,-1.419999999999999,57.62,19.400000000000002,16,16,0
1,1,10,0,2,1,1,17.380000000000003,58.96,19.400000000000002,119,163,1
1,0,23,0,6,0,1,-3.3,26.130000000000003,44.78,22,22,0
4,1,11,0,3,1,1,17.380000000000003,34.84,19.400000000000002,238,291,0
2,1,11,0,3,1,1,15.5,28.14,38.81,168,222,0
1,1,13,0,4,1,1,19.259999999999998,21.44,25.369999999999997,187,211,0
3,0,1,0,2,1,1,24.9,43.550000000000004,10.45,24,39,0
4,1,4,0,0,0,1,13.620000000000001,44.89,8.959999999999999,6,7,0
2,1,9,0,6,0,2,9.86,24.79,0.0,169,214,1
2,1,12,0,5,1,1,19.259999999999998,35.510000000000005,19.400000000000002,260,362,0
4,0,20,0,1,1,2,13.620000000000001,54.94,10.45,190,205,1
4,0,15,0,0,0,2,15.5,28.14,32.84,221,310,0
3,1,4,0,5,1,1,17.380000000000003,51.59,0.0,11,12,0
4,0,6,0,0,0,1,9.86,54.94,16.42,9,9,0
2,1,19,0,6,0,3,8.919999999999998,47.57,13.43,110,139,1
4,0,4,0,3,1,1,11.739999999999998,47.57,25.369999999999997,5,5,0
1,0,21,0,4,1,1,0.4599999999999991,49.58,8.959999999999999,36,38,0
4,0,2,0,2,1,1,1.4000000000000004,53.6,0.0,1,2,0
4,1,23,0,0,0,2,18.320000000000004,45.56,28.360000000000003,78,105,0
2,0,21,0,5,1,2,6.1,26.130000000000003,16.42,64,75,0
1,0,13,0,2,1,1,7.040000000000001,14.07,22.39,68,82,0
4,0,9,0,2,1,2,20.2,46.23,0.0,195,235,1
3,1,12,0,3,1,2,28.660000000000004,28.81,0.0,223,292,0
1,0,16,0,2,1,2,9.86,30.82,32.84,93,114,1
2,1,5,0,5,1,1,11.739999999999998,62.98,0.0,24,25,0
1,0,14,0,1,1,2,-1.419999999999999,30.82,22.39,43,45,0
4,1,15,0,6,0,1,11.739999999999998,31.49,0.0,352,447,0
3,1,22,0,2,1,1,23.96,52.93,19.400000000000002,151,177,0
4,1,2,0,4,1,1,7.040000000000001,44.22,13.43,10,20,0
3,1,5,0,4,1,1,12.68,51.59,10.45,52,56,0
3,0,3,0,4,1,3,21.14,62.98,0.0,2,2,0
1,1,14,0,0,0,1,13.620000000000001,20.77,28.360000000000003,289,501,0
3,0,5,0,5,1,1,22.080000000000002,55.61,0.0,16,17,0
1,1,10,0,6,0,1,4.220000000000001,23.45,41.79,176,223,1
3,0,8,0,5,1,2,31.479999999999997,42.21,16.42,292,322,1
2,0,9,0,5,1,1,17.380000000000003,45.56,22.39,199,234,1
2,1,9,0,3,1,1,18.320000000000004,40.199999999999996,8.959999999999999,268,303,1
2,0,14,0,0,0,1,20.2,32.83,0.0,240,366,0
4,1,22,0,3,1,1,7.040000000000001,30.150000000000002,38.81,101,105,0
4,0,5,1,1,0,1,13.620000000000001,62.98,0.0,19,21,0
4,0,15,0,3,1,3,11.739999999999998,62.98,22.39,25,30,0
3,1,3,0,0,0,1,21.14,48.91,8.959999999999999,37,48,0
3,0,16,0,4,1,1,32.42,31.49,16.42,214,256,1
3,0,7,0,5,1,1,22.080000000000002,29.48,16.42,247,264,1
4,0,21,0,5,1,3,7.040000000000001,46.9,16.42,69,74,0
2,1,13,0,5,1,1,24.9,28.14,25.369999999999997,272,393,0
2,0,4,0,1,1,1,13.620000000000001,62.98,19.400000000000002,1,1,0
2,1,1,1,1,0,2,21.14,52.260000000000005,29.849999999999998,45,59,0
2,1,10,0,1,1,2,7.040000000000001,46.9,32.84,88,100,1
1,1,20,0,0,0,1,16.44,51.59,13.43,139,198,1
4,1,18,0,6,0,2,7.98,50.92,0.0,255,297,1
3,1,18,0,0,0,1,29.6,27.47,29.849999999999998,302,419,1
2,0,21,0,6,0,1,23.020000000000003,49.58,29.849999999999998,114,201,0
3,0,20,0,0,0,1,27.72,36.85,19.400000000000002,167,268,1
2,1,7,0,6,0,1,16.44,48.239999999999995,10.45,77,86,1
4,0,23,0,2,1,1,12.68,48.239999999999995,13.43,79,94,0
2,1,11,0,3,1,2,23.020000000000003,36.18,44.78,182,246,0
4,1,15,0,4,1,1,16.44,22.78,16.42,358,460,0
3,0,8,0,0,0,1,13.620000000000001,48.239999999999995,25.369999999999997,53,69,1
2,0,0,0,6,0,2,15.5,58.96,13.43,78,102,0
4,0,23,0,3,1,1,20.2,62.98,13.43,59,71,0
3,1,4,0,2,1,2,21.14,62.98,35.82,5,7,0
3,1,14,0,0,0,1,22.080000000000002,59.63,10.45,252,377,0
1,0,7,0,5,1,1,-4.24,48.91,0.0,73,74,1
1,0,4,0,6,0,2,-7.06,32.16,29.849999999999998,3,3,0
1,0,2,0,0,0,2,1.4000000000000004,50.25,8.959999999999999,19,20,0
1,1,1,0,3,1,1,7.98,35.510000000000005,0.0,5,5,0
3,0,1,0,5,1,2,21.14,67.0,16.42,8,8,0
4,1,22,0,2,1,1,6.1,37.52,22.39,100,106,0
3,1,5,0,5,1,2,23.020000000000003,37.52,8.959999999999999,30,34,0
2,0,7,0,6,0,1,18.320000000000004,37.52,0.0,60,87,1
1,1,13,0,4,1,1,16.44,26.130000000000003,19.400000000000002,188,218,0
1,1,20,0,4,1,1,6.1,32.83,0.0,172,177,1
4,1,6,0,0,0,2,2.34,31.49,10.45,10,11,0
3,0,23,0,5,1,1,23.96,46.23,22.39,102,139,0
3,0,19,0,0,0,1,25.839999999999996,46.9,25.369999999999997,201,282,1
1,0,10,0,5,1,1,1.4000000000000004,31.49,46.27,57,63,1
2,0,9,0,0,0,2,23.96,49.58,10.45,111,169,1
2,1,2,0,1,1,1,17.380000000000003,51.59,22.39,6,9,0
3,1,20,0,6,0,3,27.72,44.89,25.369999999999997,140,207,1
4,0,7,0,3,1,3,13.620000000000001,62.98,0.0,130,137,1
1,0,22,0,3,1,1,0.4599999999999991,36.85,13.43,41,42,0
3,0,13,0,4,1,1,33.36,37.52,29.849999999999998,81,102,0
1,1,14,0,5,1,1,15.5,36.85,55.22,153,176,0
2,0,21,0,6,0,2,18.320000000000004,55.61,28.360000000000003,103,135,0
2,0,0,0,6,0,2,6.1,40.87,0.0,29,32,0
1,0,12,0,2,1,1,5.160000000000002,16.08,25.369999999999997,65,71,0
4,0,17,0,0,0,1,19.259999999999998,32.83,46.27,253,405,1
1,1,9,0,0,0,2,3.2799999999999994,37.52,25.369999999999997,73,93,1
1,0,12,0,0,0,2,8.919999999999998,44.22,29.849999999999998,73,93,0
1,0,9,0,6,0,1,9.86,50.92,0.0,72,90,1
1,1,4,0,2,1,1,7.040000000000001,28.14,35.82,2,2,0
3,1,11,0,0,0,1,33.36,26.130000000000003,22.39,256,377,0
4,1,16,0,2,1,2,11.739999999999998,41.54,8.959999999999999,335,395,1
3,0,11,0,2,1,1,30.54,39.53,0.0,98,127,0
4,0,10,0,4,1,2,7.98,40.87,32.84,74,81,1
4,1,21,0,3,1,1,6.1,37.52,0.0,208,213,0
2,0,9,0,3,1,1,23.020000000000003,40.87,28.360000000000003,170,197,1
1,1,3,0,0,0,2,0.4599999999999991,46.23,28.360000000000003,20,21,0
1,1,5,0,3,1,1,7.040000000000001,46.9,10.45,29,30,0
3,0,5,0,4,1,1,24.9,43.550000000000004,10.45,26,27,0
3,0,18,0,3,1,3,22.080000000000002,59.63,0.0,219,237,1
2,0,0,0,3,1,2,7.040000000000001,38.19,0.0,8,11,0
4,0,13,0,1,1,2,6.1,34.84,10.45,153,166,0
3,1,13,0,5,1,1,36.18,25.46,19.400000000000002,194,239,0
1,0,15,0,2,1,1,2.34,23.45,38.81,45,51,0
1,1,4,1,2,0,2,3.2799999999999994,58.29,8.959999999999999,1,1,0
2,1,1,0,0,0,1,18.320000000000004,34.84,0.0,102,130,0
1,0,15,0,6,0,2,12.68,51.59,29.849999999999998,70,110,0
2,1,0,0,2,1,2,7.040000000000001,50.92,13.43,13,13,0
4,0,14,0,2,1,1,15.5,32.16,25.369999999999997,118,150,0
4,1,3,0,6,0,1,4.220000000000001,43.550000000000004,19.400000000000002,19,21,0
4,1,5,1,1,0,1,7.98,50.92,22.39,17,19,0
2,0,20,0,6,0,2,5.160000000000002,30.150000000000002,25.369999999999997,67,85,1
3,1,1,0,6,0,2,23.96,46.23,0.0,100,115,0
3,1,10,0,1,1,1,25.839999999999996,49.58,13.43,143,206,1
4,0,21,0,4,1,1,10.8,41.54,52.239999999999995,119,132,0
4,0,23,0,0,0,1,11.739999999999998,51.59,16.42,31,49,0
4,0,11,0,5,1,1,15.5,30.150000000000002,22.39,135,174,0
4,0,13,0,4,1,1,10.8,26.8,22.39,137,154,0
2,0,0,0,5,1,1,8.919999999999998,41.54,19.400000000000002,30,33,0
4,1,22,0,6,0,2,16.44,48.239999999999995,25.369999999999997,116,157,0
3,0,23,0,4,1,2,21.14,62.98,0.0,99,113,0
3,0,11,0,6,0,2,26.78,46.9,19.400000000000002,192,314,0
4,0,8,0,2,1,2,13.620000000000001,62.98,19.400000000000002,401,414,1
4,1,21,0,6,0,1,8.919999999999998,41.54,13.43,169,184,0
4,0,0,0,1,1,1,7.98,58.29,10.45,13,16,0
4,0,5,0,2,1,1,9.86,58.29,13.43,24,24,0
1,1,17,0,4,1,1,21.14,25.46,65.67,545,597,1
2,1,19,0,4,1,1,14.559999999999999,20.77,25.369999999999997,423,487,1
4,1,7,0,4,1,1,1.4000000000000004,42.88,0.0,354,362,1
4,0,13,0,2,1,2,12.68,36.18,13.43,163,181,0
1,0,11,0,3,1,2,14.559999999999999,54.94,41.79,53,56,0
1,1,17,0,0,0,1,8.919999999999998,14.07,41.79,201,234,1
1,1,22,0,3,1,3,7.98,58.29,19.400000000000002,49,49,0
3,1,14,0,1,1,2,26.78,36.85,25.369999999999997,184,242,0
3,1,14,0,4,1,1,26.78,49.58,8.959999999999999,178,216,0
3,1,1,0,0,0,1,22.080000000000002,43.550000000000004,0.0,102,131,0
2,0,17,0,6,0,2,25.839999999999996,28.14,16.42,253,444,1
4,0,8,0,6,0,2,4.220000000000001,37.52,22.39,55,59,1
3,0,7,0,2,1,1,24.9,43.550000000000004,8.959999999999999,248,270,1
3,0,10,0,0,0,1,24.9,40.87,61.19,115,142,1
2,0,4,0,1,1,1,10.8,58.29,16.42,4,6,0
3,1,16,0,4,1,1,22.080000000000002,31.49,16.42,385,457,1
1,1,9,0,4,1,1,13.620000000000001,48.239999999999995,46.27,282,301,1
2,1,5,0,1,1,1,16.44,45.56,0.0,33,35,0
2,0,21,0,2,1,2,11.739999999999998,36.18,28.360000000000003,63,87,0
2,0,8,0,5,1,1,23.020000000000003,49.58,28.360000000000003,393,418,1
2,0,6,0,3,1,1,13.620000000000001,54.94,13.43,93,99,0
2,0,19,0,5,1,1,23.96,17.42,28.360000000000003,338,391,1
4,0,11,0,2,1,3,10.8,62.98,13.43,28,32,0
1,1,18,0,1,1,1,7.98,16.75,25.369999999999997,399,405,1
1,1,5,0,0,0,2,-0.47999999999999954,31.49,32.84,5,5,0
4,1,4,0,6,0,1,16.44,39.53,25.369999999999997,8,14,0
2,0,8,0,6,0,1,23.020000000000003,52.260000000000005,8.959999999999999,103,131,1
2,1,13,0,1,1,1,13.620000000000001,24.119999999999997,29.849999999999998,184,281,0
2,0,2,0,0,0,1,10.8,41.54,19.400000000000002,25,29,0
3,1,7,0,3,1,1,16.44,42.21,22.39,529,545,1
1,0,16,0,4,1,3,9.86,41.54,28.360000000000003,67,71,1
2,1,23,0,5,1,1,23.020000000000003,52.260000000000005,22.39,132,166,0
4,1,11,0,0,0,2,8.919999999999998,58.29,13.43,248,295,0
1,1,21,0,3,1,1,12.68,41.54,25.369999999999997,177,188,0
4,1,13,0,5,1,1,13.620000000000001,25.46,28.360000000000003,200,424,0
3,1,4,0,6,0,3,23.020000000000003,40.87,10.45,6,9,0
2,1,12,0,3,1,1,21.14,25.46,0.0,235,315,0
2,0,17,0,0,0,1,24.9,38.86,25.369999999999997,213,306,1
3,1,5,0,6,0,1,22.080000000000002,59.63,16.42,7,10,0
2,1,12,0,4,1,1,13.620000000000001,27.47,44.78,199,259,0
3,1,2,0,2,1,1,25.839999999999996,46.9,8.959999999999999,6,7,0
3,0,15,0,0,0,1,31.479999999999997,35.510000000000005,29.849999999999998,182,376,0
2,0,0,0,0,0,2,15.5,39.53,10.45,78,100,0
3,1,19,0,2,1,1,33.36,23.45,25.369999999999997,478,547,1
4,1,5,0,0,0,1,5.160000000000002,54.27,13.43,7,12,0
4,0,23,0,4,1,1,16.44,42.21,32.84,104,114,0
4,1,9,0,0,0,2,8.919999999999998,58.29,13.43,113,132,1
2,0,21,0,2,1,2,15.5,48.239999999999995,13.43,114,122,0
2,1,2,0,5,1,1,7.98,32.83,19.400000000000002,5,11,0
3,1,23,0,6,0,1,28.660000000000004,41.54,8.959999999999999,119,152,0
3,1,17,0,5,1,1,38.06,22.78,19.400000000000002,457,539,1
4,1,10,0,0,0,1,17.380000000000003,30.150000000000002,25.369999999999997,351,489,1
1,0,15,0,2,1,1,5.160000000000002,34.84,25.369999999999997,48,65,0
2,1,20,0,3,1,1,23.020000000000003,43.550000000000004,25.369999999999997,398,459,1
4,1,21,0,2,1,1,7.040000000000001,35.510000000000005,19.400000000000002,193,207,0
3,0,11,0,4,1,1,27.72,23.45,25.369999999999997,128,187,0
1,0,0,0,3,1,2,2.34,62.31,0.0,3,3,0
1,1,19,0,5,1,3,8.919999999999998,58.29,19.400000000000002,162,174,1
3,1,13,0,1,1,1,25.839999999999996,34.17,29.849999999999998,181,260,0
3,0,14,0,3,1,2,30.54,34.84,28.360000000000003,113,145,0
2,1,12,0,4,1,2,16.44,55.61,13.43,180,204,0
3,0,22,0,5,1,1,24.9,32.16,0.0,126,167,0
2,0,15,0,4,1,3,6.1,58.29,29.849999999999998,61,65,0
3,1,22,0,1,1,2,20.2,55.61,0.0,136,161,0
1,1,14,0,5,1,2,13.620000000000001,44.89,10.45,26,31,0
3,0,0,0,6,0,1,23.96,34.17,10.45,69,84,0
1,0,10,0,1,1,1,12.68,22.11,22.39,46,55,1
2,1,23,0,6,0,2,9.86,50.92,8.959999999999999,37,42,0
1,0,1,0,6,0,2,10.8,41.54,28.360000000000003,31,35,0
2,0,2,0,6,0,2,12.68,36.18,22.39,53,65,0
4,0,20,0,4,1,1,6.1,28.14,28.360000000000003,162,169,1
3,0,15,0,4,1,2,27.72,34.84,35.82,127,189,0
4,0,19,0,3,1,1,19.259999999999998,37.52,13.43,334,374,1
2,1,14,0,1,1,1,13.620000000000001,20.77,41.79,141,268,0
4,0,10,0,5,1,1,16.44,45.56,8.959999999999999,126,174,1
3,1,5,0,0,0,1,20.2,58.96,0.0,6,6,0
2,0,20,0,4,1,1,21.14,55.61,32.84,176,201,1
2,0,23,0,3,1,1,27.72,50.25,19.400000000000002,98,116,0
2,0,4,0,4,1,1,7.98,50.92,19.400000000000002,1,1,0
2,0,3,0,4,1,1,7.98,44.22,25.369999999999997,4,4,0
4,1,2,0,0,0,1,14.559999999999999,42.21,0.0,71,92,0
1,0,23,0,0,0,2,8.919999999999998,41.54,16.42,53,59,0
1,0,11,0,1,1,1,-3.3,30.82,13.43,43,46,0
2,0,19,0,3,1,1,18.320000000000004,34.84,13.43,341,401,1
2,1,0,0,4,1,2,14.559999999999999,54.94,22.39,75,90,0
1,0,3,0,1,1,1,1.4000000000000004,53.6,58.209999999999994,1,1,0
1,1,4,0,3,1,1,-7.06,27.47,19.400000000000002,2,2,0
1,1,10,0,5,1,1,8.919999999999998,33.5,16.42,118,132,1
1,1,7,0,3,1,1,1.4000000000000004,53.6,13.43,247,256,1
2,0,13,0,6,0,1,20.2,23.45,28.360000000000003,240,436,0
2,0,18,0,6,0,2,15.5,62.98,38.81,32,38,1
2,0,3,0,0,0,3,1.4000000000000004,46.23,22.39,14,14,0
2,0,14,0,3,1,1,26.78,26.8,46.27,115,148,0
1,1,18,0,6,0,2,1.4000000000000004,50.25,38.81,107,110,1
4,1,14,0,4,1,1,24.9,40.87,25.369999999999997,211,267,0
4,0,9,0,0,0,2,6.1,50.25,8.959999999999999,134,170,1
1,0,4,0,1,1,1,1.4000000000000004,53.6,52.239999999999995,0,1,0
4,0,16,0,1,1,1,10.8,26.8,25.369999999999997,189,208,1
4,0,0,0,4,1,1,20.2,62.98,19.400000000000002,33,40,0
3,0,8,0,1,1,2,16.44,51.59,13.43,391,420,1
2,1,23,0,6,0,1,19.259999999999998,37.52,8.959999999999999,134,176,0
3,0,16,0,4,1,1,27.72,41.54,32.84,220,290,1
2,1,16,0,1,1,2,22.080000000000002,48.91,25.369999999999997,269,315,1
4,0,18,0,0,0,1,23.96,49.58,0.0,279,404,1
2,0,2,0,4,1,1,15.5,28.14,38.81,10,13,0
4,0,11,0,2,1,1,13.620000000000001,42.21,13.43,126,147,0
3,0,20,0,5,1,1,25.839999999999996,28.14,22.39,210,287,1
2,1,3,0,6,0,1,10.8,54.94,25.369999999999997,21,31,0
3,0,14,0,2,1,3,17.380000000000003,58.96,28.360000000000003,21,24,0
2,0,11,0,0,0,2,23.020000000000003,55.61,28.360000000000003,180,319,0
2,1,2,0,2,1,3,16.44,48.239999999999995,29.849999999999998,8,8,0
4,0,8,0,1,1,2,5.160000000000002,58.29,0.0,355,372,1
2,1,9,0,6,0,1,10.8,20.099999999999998,25.369999999999997,173,276,1
3,1,6,0,5,1,1,26.78,44.22,19.400000000000002,127,131,0
1,1,23,0,0,0,1,-1.419999999999999,28.81,22.39,23,23,0
3,1,19,0,2,1,2,27.72,44.22,10.45,506,610,1
2,0,5,0,3,1,3,7.040000000000001,58.29,19.400000000000002,10,10,0
1,1,15,0,1,1,2,5.160000000000002,30.150000000000002,13.43,246,315,0
2,0,9,0,1,1,2,15.5,36.85,10.45,132,169,1
3,0,15,0,6,0,3,23.96,52.93,35.82,208,358,0
1,1,21,0,3,1,1,16.44,34.84,16.42,217,233,0
1,0,16,0,2,1,2,-0.47999999999999954,57.62,22.39,72,76,1
4,0,7,0,0,0,1,10.8,41.54,13.43,39,48,1
2,1,8,0,2,1,2,16.44,62.98,28.360000000000003,538,557,1
3,0,0,0,3,1,2,23.96,52.93,28.360000000000003,25,36,0
1,1,20,1,2,0,2,7.040000000000001,44.22,28.360000000000003,29,40,1
2,0,17,0,2,1,1,24.9,40.87,10.45,492,548,1
3,0,11,0,5,1,2,26.78,49.58,25.369999999999997,104,165,0
1,1,14,0,2,1,1,15.5,19.43,32.84,142,160,0
3,1,4,0,3,1,1,25.839999999999996,46.9,13.43,6,6,0
2,1,0,0,2,1,1,10.8,28.81,13.43,32,33,0
2,0,13,0,4,1,1,14.559999999999999,22.11,32.84,122,177,0
1,1,12,0,0,0,1,9.86,28.81,22.39,273,351,0
1,1,22,1,1,0,2,6.1,32.83,35.82,39,43,0
